id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source
274388,americanthinker.com,bias,http://www.americanthinker.com/blog/2013/01/2012_gm_auto_sales_worse_than_any_bush_year.html,"2012 GM Auto Sales Worse Than Any Bush Year I know, I know. The bailout worked and all headlines today present GM as having its best year since this and that. But here is raw data that you won't see in many places: ● GM sold 2,595, 717 units in the Unites States during 2012; this is an 11% drop of the almost 3,000,000 units GM in 2008. ● GM U.S. sales in 2012 is lower and worse than any of the eight years Bush was in office. ● In December 2008, when the world was collapsing, when we were at the boiling point of the crisis, when we needed to save GM no questions asked, GM sold 221,983 units. How bad was it? Well, in 2012 in the midst of the great recovery, when ""the bailout worked"" as per Obama ads, GM sold only 245,733 units. Yes, that's correct: the difference between the worse times for GM vs ""its best months in five years,"" is a mere 23,750 sales! ● If you replicate this 23,750 difference for a whole year, it still does not give GM enough sales to catch up to their 2008 level. ● Total 2012 sales of vehicles in the Unites States from all firms combined were 14.5 million units. Indeed, this is better than the 13.3M units sold in 2008, but the 2012 sales are worse than all other Bush years. ● These numbers will make your liberal friends go totally crazy: Total U.S. 2012 Auto Sales (all firms combined) are up 9% from 2008, but GM is down 11% in the same period. In plain Yiddish this means the firm that got most of the auto bailout, went the other direction from the industry overall. While the industry as a whole under Obama had one year better than Bush (2012 vs 2008), GM's best year under Obama is worse than the worst year under Bush. Perhaps now more people will take note that the bailout was about saving over-contracted unions who ran GM finances, not the firm itself, into the ground.",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Blog: 2012 GM Auto Sales Worse Than Any Bush Year,,,[''],,,,
112349,liberalamerica.org,clickbait,http://www.liberalamerica.org/2015/07/14/think-sexual-consent-forms-try-new-sexual-consent-mobile-app/,"Technology makes life even easier with this new app that records confirmations of sexual consent and saves it in ?cloud storage for 7 years. The app is the brainwork of Michael Lissack, a businessman who got the idea while participating in a debate on sexual assault at Harvard. The app can be downloaded from their site here. Titled ?We-Consent?, the app captures a 20-second video of the users who consent to sex and saves it in cloud storage. The video is stored for 7 years and cannot be hacked. It is not exposed to anyone other than law enforcement authorities, and universities if they request it. This means that not even the users themselves may access the information, so that misuse of the videos could be avoided. Michael said the primary target customer base would be athletes as they are the ones who are most often involved with scandals. He said: ?Who seems to be mostly involved with scandals? Athletic teams and fraternities.? Continue reading below the advertisement Along with the ?Yes? app, the website is selling the ?No Means No,? and ?Not Now? apps as well, which are to be used when the other person is not getting the message. So why is this app a better option than printed consent forms? Legally acceptable: Consent forms may or may not be recognized as authentic. They can be questioned. The video recording cannot. It is well in scope of the informed consent law. Readily available: Nearly everyone carries a video enabled smart phone these days. No one carries legal papers on a regular basis. Cannot be misused: Since, the users themselves do not have access to the videos, they cannot be used to de-repute the other person, although consent forms can. Lesser chances of being threatened to consent: Since the video is recorded on camera, the expressions are recorded as well. Chances are less to make a video with a happy face when threatened. Less awkward: The worst part about consent forms is asking the other person ?may I have sex with you?? and having them sign on the dotted line. This app seems to be much better at presenting intentions clearly, without seeming impersonal. Although not foolproof, this could surely help a lot of those who may be prone to scandals. So, in the interest of protecting yourself, and perhaps your partner as well, you should check out this mobile app.",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Before you think of Sexual-Consent Forms Again, Try This New Sexual-Consent Mobile App","Connect On Facebook, View All Posts",,[''],"Before you try consent forms again, try this consent app.",,,
310417,theeconomiccollapseblog.com,conspiracy,https://theeconomiccollapseblog.com/archives/tag/americans/page/2,"Could that headline actually be true? Do Americans waste about 40 percent of all the food that we produce? That sounds like an absolutely crazy number, but it is actually quite accurate according to a study conducted by the Natural Resources Defense Council. What the NRDC discovered is that approximately 40 percent of our total food supply is either thrown into dumpsters by grocery stores, is discarded by restaurants, never gets harvested on our farms, or is thrown into the garbage by consumers in their homes. Even though 47 million Americans are on food stamps and millions of children go to bed hungry in this country every single night, we continue to waste approximately 263 million pounds of food every single day of the year. One day people will look back and regard us as probably the most wasteful society in the history of the planet. So where does all of that food go? Well, according to a recent Seattle Times article, “food waste” takes up more space in our landfills than anything else does… Last year, the NRDC found that Americans throw out as much as 40 percent of the country’s food supply each year, adding up to $165 billion in losses. Food waste makes up the largest portion of solid trash in landfills, according to researchers. Some $900 million of expired food is dumped from the supply chain annually, much of it a result of confusion. Misinterpreted date labels cause the average American household of four to lose as much as $455 a year on squandered food, according to researchers. The expired food that gets wasted is one of my personal pet peeves. I don’t do this a lot, but today I am going to share a personal story with you. Earlier today I was out running errands and I decided that I wanted to pick up some mini-cupcakes from Safeway that I just love. I do try to eat a healthy diet, but I do also like a treat from time to time. So I got over to Safeway, and I noticed that the only mini-cupcakes that they had out were ones with chocolate frosting, but I wanted ones with vanilla frosting. So I went up to the bakery counter and there was nobody there, but behind the counter I saw a stack of several containers of vanilla cupcakes. I waited until the bakery lady got back and I asked her if I could have them. I was astounded when she very firmly told me that I could not buy them. She said that it was against regulations. I implored her to sell them to me. I explained that I had come over to Safeway just to buy them and I didn’t care if they were a little old. Again she very firmly told me that I could not buy them. I could not understand this. I knew that the cupcakes were just going to be thrown out, so I asked to speak to her manager. After a few moments her manager came over and I was once again told very firmly that under no circumstances would I be able to buy the cupcakes. So needless to say, I left the store with a sad look on my face and without any cupcakes. Now of course I probably didn’t need the cupcakes anyway. They are not healthy for me. But big chains such as Safeway throw away massive amounts of very good food as well. The level of the waste that goes on is absolutely astounding. Meanwhile, the number of Americans that are dealing with hunger and malnutrition grows with each passing day. I want to share with you an excerpt from a recent article authored by Jason Ford entitled “I Work On The Breadline“… I work as a cashier at a nationally known discount store. I sell clothing, cleaning products, house wares and food. The people I sell to are people of all colors, races, ages and sex, but most of them have one thing in common; EBT cards. I would say about half of every transaction I do is paid for with an EBT card. Sometimes people will use three different methods of payment. They will use whatever is left on their EBT card, then use whatever is left on their debit card, and then scrape their purse to find the remaining balance, and sometimes they still don’t have enough. Another common trait of the people I serve besides the poverty is the poor health. The food I sell is not healthy, by any stretch. I sell potato chips, candy bars, bread, canned food, ice cream, soda, packaged meat, cigarettes and alcohol. I noticed quickly that a common ingredient of most of the foods is sugar and grains. Sugar and grains are easy to grow and produce cheaply and are used as fillers in processed food to cut cost and mask the taste of other questionable ingredients. Grains work in conjunction with sugars to inflame the body and compromise the immune system. Grains and sugars also have no nutritional value besides calories, so on top of inflaming the body; they do not provide the sustenance the body needs to survive. As the functions of the body require these nutrients the diet lacks, the body sucks these minerals from the bones, teeth and brain. Bone loss, and tooth decay and decreased brain function are the unfortunate symptoms of malnutrition. The poorest of the customers I serve are also the sickest. I have witnessed toothless mouths in the young and old. Mental retardation is also a common trait among many of them. I have even witnessed one unfortunate woman whose skin was a pale green color. These people are dying a slow starvation and they don’t even know it. Doesn’t that just break your heart? People are living like that, and yet America discards 263 million pounds of food every single day. Something is fundamentally wrong with the way our system works. So what is society going to do as the number of hungry people continues to grow in this country and around the world? Well, according to ABC News, some scientists plan to feed them with flour made out of bugs… A team of MBA students were the recipients of the 2013 Hult Prize earlier this week, providing them with $1 million in seed money to produce an insect-based, protein-rich flour for feeding malnourished populations in other countries. The product is called Power Flour. “It’s a huge deal because we had a very ambitious but highly executable five-year plan in place,” said team captain Mohammed Ashour, whose team hails from McGill University in Montreal. “So winning this prize is a great step in that direction.” Ashour, along with teammates Shobhita Soor, Jesse Pearlstein, Zev Thompson and Gabe Mott, will be immediately working with an advisory board to recruit farmers and workers in Mexico, where a population of roughly 4 million live in slum conditions with widespread malnutrition. “We will be starting with grasshoppers,” Ashour said. Are you ready for a “protein-rich flour” made out of grasshoppers? I know that I am not. And in Japan, scientists have actually been working on a way to create meat out of poop. You can read more about that right here. Perhaps if we just quit wasting so much food we would be able to feed everybody without resorting to such craziness. These days, an increasing number of Americans are fighting back against the colossal waste that they see all around them. Some have even chosen to take advantage of the waste by regularly going “dumpster diving”. The following is how I described “dumpster diving” in one of my previous articles… Have you ever thought about getting your food out of a trash can? Don’t laugh. Dumpster diving has become a hot new trend in America. In fact, dumpster divers even have a trendy new name. They call themselves “freegans”, and as the economy crumbles their numbers are multiplying. Many freegans consider dumpster diving to be a great way to save money on groceries. Others do it because they want to live more simply. Freegans that are concerned about the environment view dumpster diving as a great way to “recycle” and other politically-minded freegans consider dumpster diving to be a form of political protest. But whatever you want to call it, the reality is that thousands upon thousands of Americans will break out their boots, rubber gloves and flashlights and will be jumping into dumpsters looking for food once again tonight. Who knows – perhaps some enterprising young dumpster diver will end up fishing the vanilla cupcakes that I wanted out of Safeway’s dumpsters this evening. It is amazing what some of these dumpster divers are able to recover from “the trash”. In North Carolina, one man even takes his son dumpster diving with him… A programmer by day, Todd takes to the streets of North Carolina by night, digging through Dumpsters at drug stores and grocery stores all around his rural neighborhood. “You would be simply amazed at what businesses throw out,” he said. “I’ve only had to buy two loaves of bread all year. … Last week I had a trunk full of cereal, cookies, chips and ramen noodles.” Todd slinks in and out of smelly places with low-light flashlights to evade rent-a-cops who will shoo him away. Most nights, his 14-year-old son comes along. Unfortunately, dumpster diving is not as easy as it used to be. As dumpster diving has soared in popularity, some grocery stores have responded by putting locks on their dumpsters. And in some areas of the country, police have even started regularly arresting dumpster divers. But in the end, dumpster diving was not going to be a permanent solution anyway. A permanent solution would be to quit wasting so much food. I applaud the grocery store chains that choose to donate their expired food to homeless shelters and food banks. We need to see a lot more of that going on. And in our own homes we need to find ways to give more food away and waste less of it. All of this needless wasting of food does not have to happen. Let’s work together to find some solutions.",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Americans,,,"['americans', 'get prepared', 'get ready', 'not prepared', 'painful', 'time is running out', 'warn the people', 'what is coming', 'apathy', 'diet', 'dissatisfied with the government', 'frustrated with government', 'funny', 'healthy diet', 'obese', 'sloth', 'survey results', 'america', 'depression', 'desperation', 'heartbreaking stories', 'michael t. snyder', 'middle class', 'the economy', 'u.s. economy', 'unemployment rate', 'crisis', 'economic', 'economic crisis', 'economic problems', 'emerging markets', 'financial', 'financial crisis', 'financial instability', 'financial nightmare', 'global', 'justin bieber', 'south america', 'american', 'american citizenship', 'future of america', 'moral decay', 'move out of the united states', 'police state', 'relocate', 'tax', 'tax reasons', 'barack obama', 'credibility', 'getting worse', 'obama', 'politics', 'things have gotten better', 'argentina', 'brazil', 'china', 'economic meltdown', 'global crisis', 'global economy', 'looting', 'shortages', 'turkey', 'ukraine', 'venezuela', 'warning signs', 'bureaucracy', 'bureaucrats', 'control freaks', 'economic freedom', 'economy', 'laws', 'our economy', 'red tape', 'regulations', 'united states', 'college', 'debt', 'economic recovery', 'full-time employment', 'getting married', 'good jobs', 'incomes', 'loan', 'student loan', 'student loan debt', 'young adults', 'young people', 'children', 'consumers', 'crazy', 'food', 'food stamps', 'food supply', 'garbage', 'history', 'hunger', 'hungry', 'restaurants', 'waste']",,"U.S. Economy, Survey Results, Move Out Of The United States, Children, Americans, Food Stamps, Politics, Debt, Getting Worse, Student Loan, What Is Coming, Frustrated With Government, China, Getting Married, Middle Class, Economy, Loan, Financial, Economic Freedom, Obama, Young Adults, Economic Crisis, Michael T. Snyder, Garbage, Unemployment Rate, Turkey, Painful, Full-Time Employment, Consumers, Funny, American, Tax Reasons, Bureaucrats, Control Freaks, Future Of America, Ukraine, American Citizenship, Food, Time Is Running Out, Restaurants, The Economy, Crisis, Global Economy, Economic, Looting, Economic Recovery, History, Relocate, Financial Crisis, Healthy Diet, Dissatisfied With The Government, Global Crisis, Laws, Economic Problems, Regulations, United States, College, Waste, Diet, Red Tape, America, Venezuela, Warn The People, Credibility, Things Have Gotten Better, Economic Meltdown, Police State, Young People, Heartbreaking Stories, Crazy, Hungry, Tax, Get Prepared, Depression, Good Jobs, Get Ready, Obese, Warning Signs, Student Loan Debt, Incomes, Emerging Markets, Our Economy, Argentina, Global, Brazil, Hunger, Justin Bieber, Apathy, Bureaucracy, Moral Decay, Financial Instability, Not Prepared, Food Supply, Barack Obama, Sloth, Desperation, South America, Financial Nightmare, Shortages",,
434765,beforeitsnews.com,fake,http://beforeitsnews.com/financial-markets/2012/07/job-cuts-expected-at-actelion-analyst-blog-2380378.html,"Job Cuts Expected at Actelion – Analyst Blog Headline: Bitcoin & Blockchain Searches Exceed Trump! Blockchain Stocks Are Next! Switzerland-based Actelion (ALIOF) recently announced that approximately 135 employees of the company could be shown the door following the cost saving initiative launched by it. The initiative is directed at increasing efficiencies so that the available resources can be utilized optimally. Moreover, by undertaking the initiative, Actelion aims to combat challenges such as the continued strength of the Swiss Franc, excessive competition in the US and pricing and reimbursement issues in Europe. Actelion stated that that the cost saving initiative was a part of the company’s strategy for value creation outlined in May 2012. The cost-cutting initiative should enable the company to focus more efficiently on its major area of strength – pulmonary arterial hypertension (PAH). We note that three (Tracleer, Ventavis and Veletri) of Actelion’s four marketed products are indicated for the treatment of PAH. The fourth drug, Zavesca, is indicated for the treatment of Gaucher’s disease. Actelion further stated that the savings will materialize towards the end of the year and gain pace next year. All the job cuts arising from the cost cutting initiative will be in the research & development (R&D) wing of Actelion. The streamlining is aimed at cutting down R&D expenditure. Actelion, which will disclose its earnings results for the first half of 2012 on July 19, further stated that it intends to direct its R&D activities for developing orphan and specialty indications going forward. We remind investors that Actelion was in the news recently when the company and its partner Auxilium Pharmaceuticals, Inc. (AUXL) gained approval in Canada for their drug Xiaflex for the treatment of Dupuytren’s contracture in adults with a palpable cord. Actelion carries a Zacks #3 Rank (Hold) in the short-run. (ALIOF): ETF Research Reports AUXILIUM PHARMA (AUXL): Free Stock Analysis Report To read this article on Zacks.com click here. Zacks Investment Research Read more at Zacks Investment Research Source:",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Job Cuts Expected at Actelion – Analyst Blog,Zacks Investment Research,,[''],,,,
495139,nationalvanguard.org,hate,https://nationalvanguard.org/2015/05/us-senate-to-criminalize-sanctions-boycotts-of-israeli-settlements/,"Even labeling of settlement-made products to become illegal THE US SENATE approved the Trade Priorities and Accountability Act of 2015 on Wednesday in a move which is clearly designed to protect illegal Israeli settlements built across the occupied Palestinian territories, Al-Quds newspaper has reported. The act is intended to counter boycott and divestment initiatives, including the labelling of goods originating in the settlements. Such activities will now be “against US law and consequently illegal”, even though international law deems all settlements to be illegal. One of the senators who worked on the legislation is Ben Cardin of Maryland, a known supporter of Israel. Media reports said that this law has caused widespread controversy because of attempts by certain senators to link America’s deal over Iran’s nuclear programme to the approval of several trade acts and agreements with various international interest groups, including Israel’s illegal settlements. The first Boycott, Divestment and Sanctions (BDS) initiative against the Israeli occupation of Palestine was launched in the US 11 years ago. It targeted illegal Israeli settlements in the occupied West Bank. Pressure has also been applied on US universities dealing with Israeli scientific institutions, demanding that Israel ends its aggression against Palestinians. America’s main pro-Israel lobby organisation, AIPAC, has so far failed to connect the deal about Iran with several issues, but has succeeded in getting overwhelming support in the legislature to fight the BDS movement and the labelling of Israeli settlements as “illegal”. It has even persuaded US politicians to label such initiatives as a general boycott of Israel as “illegal”. Nevertheless, anti-Israel boycott activities have accelerated recently. This has pushed US Secretary of State John Kerry, who opposes the boycott, to warn Israel about being isolated internationally due to increasing settlement growth. Israel does take the boycott issue seriously, though. That was clear when the EU decided to label settlement-origin products last year. About 32 per cent of Israeli exports head to Europe. As a result of the EU initiative, experts predict Israeli losses to hit $8 billion in 2015. Hence the moves in the US to undermine the effectiveness of a boycott. * * * Source: Middle East Monitor",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"US Senate to Criminalize Sanctions, Boycotts of Israeli “Settlements”",Rosemary Pennington,,[''],News. For us. For a change.,"U.S. Government, Law, Palestinians, Israel, Palestine",,
458322,naturalnews.com,junksci,https://naturalnews.com/2017-05-21-cabin-air-on-commercial-flights-can-be-filled-with-a-vast-array-of-toxic-chemicals-that-cause-seizures-and-nausea.html,"(Natural News) Cabin air that circulates in commercial flights contain toxic chemicals that are detrimental to the public health, according to a report published in DailyMail.co.uk. The potentially poisonous fumes may result in a condition called aerotoxic syndrome, which may result in blurred vision, seizures, and headaches as well as nausea, diarrhea, and even breathing difficulties. Symptoms of aerotoxic syndrome were accounted for various reported cases of emergency medical services in the previous years. In fact, three airline personnel at the Hartsfield-Jackson International Airport received emergency care for such symptoms just last year. All the crew members were referred to Georgia’s Poison Center in Atlanta. The doctors confirmed that the symptoms were due in part to toxic fumes. In another instance, crew members of Alaska Airlines were previously found to have developed permanent neurological conditions largely due to exposure to hydrocarbons during flight. According to the report, most of today’s airplanes feature systems where the cabins contain a mix of recycled air and warm compressed air drawn from their engines. This process is also known as “bleed air.” The airplanes have seals designed to keep oil and bleed air apart. However, these seals were known to leak. As a result, organophosphates in heated engine oil can contaminate the unfiltered bleed air that is being used in aircraft cabin. People who move to recognize aerotoxic syndrome noted that airlines should install bleed air filters to prevent fume events and protect cabin crew and passengers. The U.K.’s Department of Transport reported that these fume events occur on roughly 0.05 percent of all flights. In fact, a fume event was implicated in the death of British Airways co-pilot Richard Westgate in 2012. According to the report, the late co-pilot complained of headaches, nausea, and chronic fatigue due to fumes. A subsequent study following his death confirmed that airplane cabins contained organophosphates and other chemicals. Toxic chemicals in cabin air may spur adverse health conditions Various studies have shown that toxic chemicals found in cabin air may result in unwanted health conditions. Organophosphate exposure, for instance, was associated with worldwide mortality rates of three to 25 percent. Complications linked to organophosphates include severe bronchorrhea, seizures, weakness, and neuropathy. Respiratory failure appeared to be the most common cause of death in those exposed to the commonly-used pesticide. A study published in PLOS ONE also revealed that organophosphate exposure may raise the odds of cardiovascular events in patients. As part of the study, the research team pooled data from the National Health Insurance Research Database with a total cohort population of more than 7,500 patients. According to the research team, patients who experienced organophosphate poisoning had higher incidence rates of arrhythmia, coronary artery disease, and congestive heart failure compared with those in the control group. An analysis published in Occupational & Environmental Medicine also showed that occupational exposure to polycyclic aromatic hydrocarbon was associated with an increased likelihood of developing lung cancer. The review also confirmed that hydrocarbon exposure may raise the odds of suffering other respiratory cancers and larynx malignancies. In addition, exposure to the toxic chemical was tied to increased risk of larynx cancer mortality. Hydrocarbon exposure was also associated with an increased risk of developing Parkinson’s disease in another meta-analysis. As part of research, the experts examined 3,020 PD cases against 6494 controls. Results of the analysis revealed that occupational hydrocarbon exposure significantly raised the odds of developing PD. The research team also found that patients exposed to hydrocarbons for more than 10 years had high Parkinson’s disease risk compared with their non-exposed counterparts. “This systematic review supports a positive association between hydrocarbon exposure and PD. Data from prospective studies are required to reinforce the relationship between hydrocarbon exposure and PD,” the researchers wrote. Sources include: DailyMail.co.uk EMedicine.Medscape.com Journals.PLOS.org OEM.BMJ.com NCBI.NLM.NIH.gov",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Cabin air on commercial flights can be filled with a vast array of toxic chemicals that cause seizures and nausea,"Russel Davis, Sunday, May",,"['chemtrails', 'environment', 'toxic chemicals', 'airlines', 'airplanes', 'hydrocarbons', 'organophosphates', 'toxic chemicals', 'toxic fumes']",,"Airplanes, toxic chemicals, organophosphates, airlines, hydrocarbons, toxic fumes",,
549574,dailykos.com,political,"https://www.dailykos.com/stories/2014/12/04/1349446/-Ferguson-marchers-met-with-fried-chicken,-Confederate-flags,-and-gunshots","© Kos Media, LLC Site content may be used for any purpose without explicit permission unless otherwise specified. “Kos” and “Daily Kos” are registered trademarks of Kos Media, LLC. Site content may be used for any purpose without explicit permission unless otherwise specified. “Kos” and “Daily Kos” are registered trademarks of Kos Media, LLC.",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Ferguson marchers met with fried chicken, Confederate flags, and gunshots","Backgroundurl Avatar_Large, Nickname, Joined, Created_At, Story Count, N_Stories, Comment Count, N_Comments, Popular Tags, Showtags Popular_Tags",,[''],,,,
248084,consortiumnews.com,reliable,https://consortiumnews.com/2015/05/13/any-thank-you-gifts-gone-missing/,"From Editor Robert Parry: Our Spring Fund Drive ended in late April, so the thank-you gifts should have arrived by now — either the “Kill the Messenger” movie DVD plus the CD of Gary Webb and me discussing the Contra-cocaine scandal in 1996 (for donations of $150 or more) or just the CD (for donations of lesser amounts). If you qualified for a gift, wanted it and didn’t get it, please contact me at consortnew@aol.com and we will send it out promptly. If you didn’t get to donate during the Spring Fund Drive and still would like to take us up on the gift offers, we will extend them another couple of weeks. To donate to our tax-exempt non-profit, you can use a credit card online (we accept Visa, Mastercard or Discover) or you can mail a check to Consortium for Independent Journalism (CIJ); 2200 Wilson Blvd., Suite 102-231; Arlington VA 22201. For readers wanting to use PayPal, you can address contributions to our account, which is named after our e-mail address: “consortnew @ aol.com”. We are also registered with PayPal’s Giving Fund under the name Consortium for Independent Journalism. (Since we are a 501-c-3 non-profit, donations by American taxpayers may be tax-deductible.) Another way to help Consortiumnews survive is to buy my three-book trilogy on the Bush dynasty Secrecy & Privilege, Neck Deep and America’s Stolen Narrative for the discount price of only $34, less than half the cover price. Given Jeb Bush’s presidential run, it contains important history that Americans should know. To get the trilogy, just go to Consortiumnews.com’s “ Donate ” button and make a $34 “donation” using Visa, Mastercard or Discover. We will read a “donation” of that amount as an order for the trilogy. If your mailing address is the same as your credit card billing address, we will ship the books to that address. If your mailing address is different, just send us an e-mail at consortnew@aol.com and we will make the adjustment. You can also take advantage of this trilogy offer by mailing a check for $34 to The Media Consortium; 2200 Wilson Blvd.; Suite 102-231; Arlington VA 22201. Or you can use our PayPal account, “consortnew @ aol.com.” Just make sure you include your mailing address in the message. (A portion of each sale will go to support our investigative journalism.) For U.S. orders of the trilogy, we will pay for the shipping. (Regrettably, this three-book offer can only be made for the United States because of increased international postal rates.) Again, thanks for your support and for making our nearly two decades of honest journalism possible. Robert Parry is a longtime investigative reporter who broke many of the Iran-Contra stories for the Associated Press and Newsweek in the 1980s. He founded Consortiumnews.com in 1995 to create an outlet for well-reported journalism that was being squeezed out of an increasingly trivialized U.S. news media.",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Any Thank-You Gifts Gone Missing?,Vivek Jain,,[''],,"Consortiumnews.com, Robert Parry",,
572074,us.blastingnews.com,satire,http://us.blastingnews.com/news/2017/05/michelle-obama-stuns-in-loose-fitting-strappy-top-while-in-italy-001719273.html,"Michelle #Obama managed to stun everyone by wearing a loose-fitting, strappy top while strolling around Tuscany on Monday. The day before, she wore a similar number that was pink, only it was off-the-shoulder on one side. Her flowy white top looked as if it was about to fall off, with one side of straps completely cascading over her arms and the other side held up with one strap. Michelle Obama dared to bare in a very flirty top while on vacation in Italy https://t.co/UIOesnj8AZ pic.twitter.com/sNppVPhTvB — Daily Mail Femail (@Femail) May 22, 2017 Former first lady favors a relaxed look Obama also had on a pair of khaki-colored pants and sunglasses with the white top. She and Barack Obama arrived in #Italy last week for some sightseeing and speaking events. The two stayed five nights at the Borgo Finocchieto, a villa that's owned by John Philips, the former president’s ambassador to Italy. The cost per night is usually $15,000 and it's believed the former first couple stayed free of charge. The villa was the best place for the Obamas to stay given the privacy factor. There was a ban on wild boar hunting around the area during the Obamas' stay as a precaution against the former president being accidentally shot. Both will leave Italy on Wednesday. Michelle Obama's chic pink top is the perfect piece to wear all summer https://t.co/ZwteC0OF57 — The Cut (@TheCut) May 23, 2017 Michelle got people talking again with another outfit she wore in Italy. She had on a multi-colored caftan that fell off one shoulder and flat sandals when she was having lunch and drinks with Barack at the Tuscan villa. The former first lady has a penchant for light clothing that manages to both cover her body but show off it off at the same time. If anyone can make shoulders and arms sexy in a top, Michelle Obama is doing just that. Other styles people love about Michelle Last month a photo of Michelle paddle boarding in the South Pacific got a lot of attention when she wore a one-piece swimsuit. There was another image circulating on social media with her hair completely natural while on vacation. Women were lauding Obama for embracing her natural look and being unashamed to show it off. Barack Obama prefers tidy look in his off time While Michelle Obama opts for a far more casual appearance in her off time, Barack prefers a tidy look. He was spotted with a crisp shirt that was unbuttoned at the top and a pair of slacks in Tuscany. He was also seen golfing in his usual attire and was in sports gear riding bikes with members of his Secret Service team a few days ago. Michelle was spotted hiking with a group of people wearing Under Armour sportswear that consisted of a racer back top and a black cap. The Obamas are fast becoming fashion trend-setters with their immense popularity. Whatever Michelle wears during her private time captivates the public. What do you think of her loose-fitting styles?",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Michelle Obama stuns in loose-fitting, strappy top while in Italy","Blasting News, Lawrence Lease, Robert Sobel",,[''],Former first lady spotted wearing strappy blouse that appeared as though it was falling off her shoulders in Tuscany.,"4062 followers Duggar Family, Obama, 3756 followers Sylvester Stallone, 4217 followers Dragon Ball Super",,
160372,coasttocoastam.com,unreliable,https://www.coasttocoastam.com/show/2005/02/22,"Date Tuesday - February 22, 2005 Host George Noory Guests James McCanney, Jolene Blalock Tuesday - February 22, 2005George Noory Just back from his trip to the South Pacific, physicist James McCanney discussed his observations related to weather, geology and tsunamis as well addressing the sun, Velikovsky and Atlantis.Though he believes it's possible charges or explosives could be placed in the ocean bed to create tsunamis as a military weapon, he didn't find any direct evidence that this was the case for the Dec. 26th event. He did conclude, based on the population density of India, that the death toll was actually around 10 million people. On the topic of changing weather patterns, McCanney noted that Earth is ""relaxing from a major event;"" namely the passing of a celestial body (Venus), which temporarily blocked the sun's radiation and brought about the ice age. The electrical fields coming from the sun and weather on the sun itself also greatly affect Earth's conditions, he said. He believes that a number of weather manipulation methods are being tried out on our planet, but so far only over small regions. McCanney also posited that the ""mother continent"" of Atlantis is located in the South China Sea and could have been submerged in a quick volcanic eruption. In sharing his research into Velikovsky's work, he said that his focus was on finding a world wide event that could be traced across cultures. Velikovsky concluded that Venus entering our solar system as a comet was such an event. Jolene Blalock as T'Pol In a live studio appearance during the first hour, Jolene Blalock spoke about her experiences playing Vulcan sub-commander T'Pol on Star Trek Enterprise. Though she spends two hours a day getting into make-up for her role, she said it's a great working environment and she loves the challenge of playing a female Vulcan. However, now ""the mood on set is gloomy,"" Blalock revealed, because of the show's recent cancellation. Some of the staff and crew have been with the franchise for as long as 25 years, she added. An advocate for space exploration, Blalock declared ""if we don't get off this planet, we'll self-destruct.""",2018-01-25 20:13:50.426130,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Weather, Tsunamis & Atlantis",Coast To Coast Am Staff,,"['coast to coast am', 'radio', 'ufos', 'creatures', 'extraterrestrial', 'supernatural', 'myths', 'legends', 'monsters', 'space', 'universe', 'science', 'mystery', 'sci-fi', 'george noory', 'ian punnett', 'george knapp', 'art bell', 'somewhere in time']","Just back from his trip to the South Pacific, physicist James McCanney discussed his observations related to weather, geology and tsunamis as well addressing the sun, Velikovsky and Atlantis.Though he believes it's possible charges or explosives could be placed in the ocean bed to create tsunamis as a military weapon, he didn't find any direct evidence that this was the case for the Dec. 26th event.",,,
