id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source
1,nytimes.com,fake,https://nytimes.com/article/0,Researchers have made an astonishing discovery that challenges everything we know. Experts are baffled.,2026-04-14T16:00:35.580172,2026-04-14T16:00:35.580177,2026-04-14T16:00:35.580178,Breaking: Government discovery shocks experts,Reporter Name,"news,article",fake,Article about fake news,fake,Summary of fake article,nytimes.com
2,nytimes.com,fake,https://nytimes.com/article/1,Researchers have made an astonishing discovery that challenges everything we know. Experts are baffled.,2026-04-14T16:00:35.580222,2026-04-14T16:00:35.580223,2026-04-14T16:00:35.580224,Breaking: Scientific discovery shocks experts,Reporter Name,"news,article",fake,Article about fake news,fake,Summary of fake article,nytimes.com
3,cnn.com,satire,https://cnn.com/article/2,Standard news reporting with balanced coverage of the facts. Sources are verified.,2026-04-14T16:00:35.580262,2026-04-14T16:00:35.580263,2026-04-14T16:00:35.580264,Update about recent developments,Reporter Name,"news,article",satire,Article about satire news,satire,Summary of satire article,cnn.com
4,theguardian.com,fake,https://theguardian.com/article/3,Researchers have made an astonishing discovery that challenges everything we know. The implications are profound.,2026-04-14T16:00:35.580294,2026-04-14T16:00:35.580295,2026-04-14T16:00:35.580296,Breaking: Alien discovery shocks experts,Reporter Name,"news,article",fake,Article about fake news,fake,Summary of fake article,theguardian.com
5,theguardian.com,hate,https://theguardian.com/article/4,Standard news reporting with balanced coverage of the facts. Sources are verified.,2026-04-14T16:00:35.580330,2026-04-14T16:00:35.580331,2026-04-14T16:00:35.580332,Update about current events,Reporter Name,"news,article",hate,Article about hate news,hate,Summary of hate article,theguardian.com
6,theguardian.com,reliable,https://theguardian.com/article/5,A comprehensive study using rigorous methodology has produced significant findings. Findings are reproducible.,2026-04-14T16:00:35.580368,2026-04-14T16:00:35.580369,2026-04-14T16:00:35.580370,Peer-reviewed study from Nature,Reporter Name,"news,article",reliable,Article about reliable news,reliable,Summary of reliable article,theguardian.com
7,foxnews.com,conspiracy,https://foxnews.com/article/6,What they don't want you to know could change everything. The truth will emerge.,2026-04-14T16:00:35.580404,2026-04-14T16:00:35.580405,2026-04-14T16:00:35.580406,Whistleblower exposes major event,Reporter Name,"news,article",conspiracy,Article about conspiracy news,conspiracy,Summary of conspiracy article,foxnews.com
8,foxnews.com,clickbait,https://foxnews.com/article/7,Standard news reporting with balanced coverage of the facts. Sources are verified.,2026-04-14T16:00:35.580441,2026-04-14T16:00:35.580442,2026-04-14T16:00:35.580442,News report on current events,Reporter Name,"news,article",clickbait,Article about clickbait news,clickbait,Summary of clickbait article,foxnews.com
9,express.co.uk,fake,https://express.co.uk/article/8,Researchers have made an astonishing discovery that challenges everything we know. This changes everything.,2026-04-14T16:00:35.580471,2026-04-14T16:00:35.580472,2026-04-14T16:00:35.580472,Breaking: Scientific discovery shocks experts,Reporter Name,"news,article",fake,Article about fake news,fake,Summary of fake article,express.co.uk
10,foxnews.com,unreliable,https://foxnews.com/article/9,Standard news reporting with balanced coverage of the facts. Sources are verified.,2026-04-14T16:00:35.580507,2026-04-14T16:00:35.580508,2026-04-14T16:00:35.580508,Update about ongoing situation,Reporter Name,"news,article",unreliable,Article about unreliable news,unreliable,Summary of unreliable article,foxnews.com
11,cnn.com,hate,https://cnn.com/article/10,Standard news reporting with balanced coverage of the facts. Sources are verified.,2026-04-14T16:00:35.580543,2026-04-14T16:00:35.580544,2026-04-14T16:00:35.580544,Update about recent developments,Reporter Name,"news,article",hate,Article about hate news,hate,Summary of hate article,cnn.com
12,barenakedislam.com,bias,https://barenakedislam.com/article/11,The evidence clearly points to a specific conclusion that supports established viewpoints. Patterns are unmistakable.,2026-04-14T16:00:35.580579,2026-04-14T16:00:35.580580,2026-04-14T16:00:35.580581,Study shows clear pattern in social trends,Reporter Name,"news,article",bias,Article about bias news,bias,Summary of bias article,barenakedislam.com
13,foxnews.com,bias,https://foxnews.com/article/12,The evidence clearly points to a specific conclusion that supports established viewpoints. The data speaks for itself.,2026-04-14T16:00:35.580614,2026-04-14T16:00:35.580615,2026-04-14T16:00:35.580616,Study shows clear pattern in social trends,Reporter Name,"news,article",bias,Article about bias news,bias,Summary of bias article,foxnews.com
14,cnn.com,conspiracy,https://cnn.com/article/13,What they don't want you to know could change everything. The pieces are coming together.,2026-04-14T16:00:35.580649,2026-04-14T16:00:35.580650,2026-04-14T16:00:35.580651,Secret documents reveal major event,Reporter Name,"news,article",conspiracy,Article about conspiracy news,conspiracy,Summary of conspiracy article,cnn.com
15,foxnews.com,bias,https://foxnews.com/article/14,The evidence clearly points to a specific conclusion that supports established viewpoints. Correlations are strong.,2026-04-14T16:00:35.580685,2026-04-14T16:00:35.580686,2026-04-14T16:00:35.580687,Report indicates clear pattern in political trends,Reporter Name,"news,article",bias,Article about bias news,bias,Summary of bias article,foxnews.com
16,foxnews.com,rumor,https://foxnews.com/article/15,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.580720,2026-04-14T16:00:35.580721,2026-04-14T16:00:35.580722,Coverage of recent developments,Reporter Name,"news,article",rumor,Article about rumor news,rumor,Summary of rumor article,foxnews.com
17,snopes.com,satire,https://snopes.com/article/16,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.580756,2026-04-14T16:00:35.580757,2026-04-14T16:00:35.580758,News report on current events,Reporter Name,"news,article",satire,Article about satire news,satire,Summary of satire article,snopes.com
