id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source
1,bbc.com,unreliable,https://bbc.com/article/0,Standard news reporting with balanced coverage of the facts. Reporting is factual.,2026-04-14T16:00:35.622859,2026-04-14T16:00:35.622863,2026-04-14T16:00:35.622864,News report on current events,Reporter Name,"news,article",unreliable,Article about unreliable news,unreliable,Summary of unreliable article,bbc.com
2,nytimes.com,satire,https://nytimes.com/article/1,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.622913,2026-04-14T16:00:35.622914,2026-04-14T16:00:35.622914,Update about current events,Reporter Name,"news,article",satire,Article about satire news,satire,Summary of satire article,nytimes.com
3,bbc.com,rumor,https://bbc.com/article/2,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.622949,2026-04-14T16:00:35.622950,2026-04-14T16:00:35.622950,Update about ongoing situation,Reporter Name,"news,article",rumor,Article about rumor news,rumor,Summary of rumor article,bbc.com
4,express.co.uk,satire,https://express.co.uk/article/3,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.622984,2026-04-14T16:00:35.622985,2026-04-14T16:00:35.622986,Coverage of ongoing situation,Reporter Name,"news,article",satire,Article about satire news,satire,Summary of satire article,express.co.uk
5,snopes.com,rumor,https://snopes.com/article/4,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.623033,2026-04-14T16:00:35.623034,2026-04-14T16:00:35.623035,News report on recent developments,Reporter Name,"news,article",rumor,Article about rumor news,rumor,Summary of rumor article,snopes.com
6,nytimes.com,clickbait,https://nytimes.com/article/5,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.623070,2026-04-14T16:00:35.623071,2026-04-14T16:00:35.623072,Coverage of current events,Reporter Name,"news,article",clickbait,Article about clickbait news,clickbait,Summary of clickbait article,nytimes.com
7,foxnews.com,clickbait,https://foxnews.com/article/6,Standard news reporting with balanced coverage of the facts. Reporting is factual.,2026-04-14T16:00:35.623104,2026-04-14T16:00:35.623105,2026-04-14T16:00:35.623106,Coverage of recent developments,Reporter Name,"news,article",clickbait,Article about clickbait news,clickbait,Summary of clickbait article,foxnews.com
8,nytimes.com,conspiracy,https://nytimes.com/article/7,What they don't want you to know could change everything. Evidence is mounting.,2026-04-14T16:00:35.623140,2026-04-14T16:00:35.623141,2026-04-14T16:00:35.623141,Hidden truth about corporate cover-up,Reporter Name,"news,article",conspiracy,Article about conspiracy news,conspiracy,Summary of conspiracy article,nytimes.com
9,snopes.com,rumor,https://snopes.com/article/8,Standard news reporting with balanced coverage of the facts. Sources are verified.,2026-04-14T16:00:35.623174,2026-04-14T16:00:35.623175,2026-04-14T16:00:35.623175,Update about current events,Reporter Name,"news,article",rumor,Article about rumor news,rumor,Summary of rumor article,snopes.com
10,theguardian.com,fake,https://theguardian.com/article/9,Researchers have made an astonishing discovery that challenges everything we know. Experts are baffled.,2026-04-14T16:00:35.623204,2026-04-14T16:00:35.623205,2026-04-14T16:00:35.623206,Breaking: Medical discovery shocks experts,Reporter Name,"news,article",fake,Article about fake news,fake,Summary of fake article,theguardian.com
