id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary,source
1,infowars.com,hate,https://infowars.com/article/0,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.572989,2026-04-14T16:00:35.572994,2026-04-14T16:00:35.572995,Update about recent developments,Reporter Name,"news,article",hate,Article about hate news,hate,Summary of hate article,infowars.com
2,infowars.com,unreliable,https://infowars.com/article/1,Standard news reporting with balanced coverage of the facts. Sources are verified.,2026-04-14T16:00:35.573040,2026-04-14T16:00:35.573041,2026-04-14T16:00:35.573042,Update about current events,Reporter Name,"news,article",unreliable,Article about unreliable news,unreliable,Summary of unreliable article,infowars.com
3,bbc.com,fake,https://bbc.com/article/2,Researchers have made an astonishing discovery that challenges everything we know. The implications are profound.,2026-04-14T16:00:35.573074,2026-04-14T16:00:35.573074,2026-04-14T16:00:35.573075,Breaking: Scientific discovery shocks experts,Reporter Name,"news,article",fake,Article about fake news,fake,Summary of fake article,bbc.com
4,foxnews.com,satire,https://foxnews.com/article/3,Standard news reporting with balanced coverage of the facts. Reporting is factual.,2026-04-14T16:00:35.573108,2026-04-14T16:00:35.573109,2026-04-14T16:00:35.573110,News report on ongoing situation,Reporter Name,"news,article",satire,Article about satire news,satire,Summary of satire article,foxnews.com
5,barenakedislam.com,hate,https://barenakedislam.com/article/4,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.573142,2026-04-14T16:00:35.573144,2026-04-14T16:00:35.573144,Update about recent developments,Reporter Name,"news,article",hate,Article about hate news,hate,Summary of hate article,barenakedislam.com
6,barenakedislam.com,bias,https://barenakedislam.com/article/5,The evidence clearly points to a specific conclusion that supports established viewpoints. Correlations are strong.,2026-04-14T16:00:35.573179,2026-04-14T16:00:35.573180,2026-04-14T16:00:35.573180,Analysis reveals clear pattern in economic trends,Reporter Name,"news,article",bias,Article about bias news,bias,Summary of bias article,barenakedislam.com
7,nytimes.com,conspiracy,https://nytimes.com/article/6,What they don't want you to know could change everything. The truth will emerge.,2026-04-14T16:00:35.573214,2026-04-14T16:00:35.573214,2026-04-14T16:00:35.573215,Secret documents reveal government program,Reporter Name,"news,article",conspiracy,Article about conspiracy news,conspiracy,Summary of conspiracy article,nytimes.com
8,bbc.com,political,https://bbc.com/article/7,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.573248,2026-04-14T16:00:35.573249,2026-04-14T16:00:35.573250,Update about recent developments,Reporter Name,"news,article",political,Article about political news,political,Summary of political article,bbc.com
9,infowars.com,clickbait,https://infowars.com/article/8,Standard news reporting with balanced coverage of the facts. Multiple perspectives included.,2026-04-14T16:00:35.573282,2026-04-14T16:00:35.573283,2026-04-14T16:00:35.573283,Update about ongoing situation,Reporter Name,"news,article",clickbait,Article about clickbait news,clickbait,Summary of clickbait article,infowars.com
10,breitbart.com,satire,https://breitbart.com/article/9,Standard news reporting with balanced coverage of the facts. Reporting is factual.,2026-04-14T16:00:35.573314,2026-04-14T16:00:35.573315,2026-04-14T16:00:35.573316,News report on ongoing situation,Reporter Name,"news,article",satire,Article about satire news,satire,Summary of satire article,breitbart.com
